,ontology,failed,failed_repair,steps,time,calls,iic_mcs,iic_remove,inf_mcs,inf_weakening,inf_remove
233,ahso,True,False,,,,,,,,
234,ahso,True,False,,,,,,,,
235,ahso,True,True,,,,,,,,
236,ahso,True,False,,,,,,,,
237,ahso,True,True,,,,,,,,
238,ahso,True,True,,,,,,,,
239,cdao,False,False,6.0,151417.0,19643.0,0.0,0.0,1319.0,1302.0,4770.0
240,cdao,False,False,2.0,4052.0,5909.0,0.5,0.5,930.0,930.0,930.0
241,cdao,False,False,1.0,10978.0,13576.0,0.42196078431372547,0.42196078431372547,4578.0,4379.0,4578.0
242,cdao,False,False,21.0,37904.0,37451.0,1.0,0.5,4905.0,5031.0,5031.0
243,cdao,False,False,11.0,22218.0,40042.0,0.9928057553956835,1.0,1240.0,1377.0,1374.0
244,cdao,False,False,4.0,42933.0,28519.0,0.0,1.0,9269.0,4986.0,4934.0
245,cdao,False,False,1.0,31541.0,28008.0,1.0,1.0,912.0,915.0,912.0
246,cdao,False,False,2.0,5433.0,14177.0,0.5,0.5,5837.0,5837.0,5837.0
247,cdao,False,False,6.0,10286.0,25444.0,0.0,0.5,1169.0,1040.0,1040.0
248,cdao,False,False,1.0,2925.0,2370.0,0.0,0.8071278825995807,1376.0,1293.0,1000.0
249,cdao,False,False,1.0,2121.0,1679.0,0.5,0.0,1657.0,1657.0,3326.0
250,cdao,False,False,4.0,26462.0,22345.0,0.5,0.5,1688.0,1688.0,1688.0
251,cdao,False,False,2.0,4610.0,10412.0,0.516728624535316,0.0,2946.0,2955.0,3461.0
252,cdao,False,False,2.0,4462.0,6672.0,0.7386363636363636,0.0,711.0,795.0,838.0
253,cdao,False,False,2.0,6184.0,14425.0,0.009129213483146067,0.0,2616.0,1218.0,3484.0
254,cdao,False,False,1.0,15334.0,17046.0,0.5,0.01221001221001221,1687.0,1687.0,2486.0
255,cdao,False,False,1.0,3891.0,4230.0,0.5263157894736842,0.660377358490566,5815.0,5829.0,5710.0
256,cdao,False,False,1.0,4614.0,29479.0,0.5,,1726.0,1726.0,
257,cdao,False,False,1.0,2623.0,8110.0,0.0,0.0,1095.0,708.0,1095.0
258,cdao,False,False,1.0,9800.0,2763.0,0.9819819819819819,0.9736842105263158,1288.0,1395.0,1287.0
259,cdao,False,False,1.0,3763.0,26655.0,0.9851668726823238,0.9851668726823238,1457.0,2242.0,1457.0
260,cdao,False,False,1.0,4068.0,5524.0,0.024896265560165973,0.011844331641285956,4602.0,4373.0,4950.0
261,cdao,False,False,1.0,61734.0,22291.0,0.9988662131519275,0.5,1403.0,2283.0,2283.0
262,cdao,False,False,1.0,5327.0,42167.0,1.0,0.5,770.0,901.0,901.0
263,cdao,False,False,1.0,6648.0,30409.0,0.5,0.5,4015.0,4015.0,4015.0
264,cdao,False,False,4.0,5902.0,7708.0,1.0,0.0,776.0,902.0,905.0
265,cdao,False,False,4.0,10056.0,22830.0,0.0,0.04011461318051576,6453.0,3192.0,6081.0
266,cdao,False,False,1.0,4556.0,15895.0,0.3919870059556037,0.3919870059556037,2913.0,2514.0,2913.0
267,cdao,False,False,1.0,2291.0,3707.0,0.0,0.5,773.0,643.0,643.0
268,cdao,False,False,1.0,2263.0,8567.0,1.0,1.0,909.0,915.0,909.0
269,cdao,False,False,2.0,4278.0,10397.0,1.0,0.5,631.0,646.0,646.0
270,cdao,False,False,2.0,85418.0,31333.0,0.0,0.007386888273314866,8434.0,3964.0,5031.0
271,cdao,False,False,1.0,2188.0,2105.0,1.0,0.0,1052.0,1055.0,1438.0
272,cdao,False,False,1.0,270095.0,29059.0,1.0,1.0,1805.0,1935.0,1432.0
